1	2	<S> GM , by contrast , has spent the past six years sinking $40 billion into .X-PLANT and equipment , buying the most advanced robotics and automation </S>
2	1	<S> Species of the bloodsucking genus Phlebotomus , often called sand flies , act as vectors of such human diseases as KALA-AZAR Gall midges ( family Cecidomyidae ) are so named because many of their larvae cause and live in .X-PLANT galls ; some of these midges may feed on plants without causing galls </S>
3	2	<S> The move will eliminate 140 of the .X-PLANT 's 400 salaried and hourly employees </S>
4	2	<S> This regulation says that any new .X-PLANT must have the potential to use coal in case supplies of oil or gas run dry </S>
5	1	<S> Sawfly larvae resemble caterpillars and feed on many types of plants ; some form galls or bore in .X-PLANT stems , among them a few very destructive pests of maple , apple , beech , larch , and elm trees </S>
6	2	<S> The announcement of the new .X-PLANT is expected to be made at a news conference scheduled for tomorrow in Columbus , Ohio </S>
7	2	<S> Similarly , 10,000 people were evacuated from Cedar Rapids , Iowa , on July 15 , 1985 , following a fire at a sewage-treatment .X-PLANT that dispersed toxic fumes </S>
8	2	<S> Charles Hulick of the quality control office of the federal General Services Administration , which was the largest customer for the suspect carpeting produced at the Collins & Aikman .X-PLANT in Dalton , Ga , said only a smoke-density test was failed </S>
9	2	<S> He said Toshiba also hopes to win an order for a .X-PLANT to produce color-TV tubes in China </S>
10	2	<S> The decline stemmed from a $109 million charge taken for the third quarter on .X-PLANT closings and a goodwill reduction in the office-furniture group </S>
11	1	<S> In some ant species , certain workers called repletes store .X-PLANT liquids in their crops </S>
12	2	<S> The coal properties , the complaint says , were " of little or no value to Kaiser " because the company already had excess coal reserves and the letter of intent was " virtually worthless " because regulatory approval of the proposed power .X-PLANT was uncertain , and eventually denied </S>
13	2	<S> But he has won praise here in New Hampshire for impeding the opening of the Seabrook nuclear power .X-PLANT by refusing to submit emergency evacuation plans for nearby Massachusetts towns </S>
14	2	<S> In Vienna , members of the International Atomic Energy Agency threatened to suspend South Africa because it practices apartheid and refuses to permit certain on-site nuclear .X-PLANT inspections </S>
15	2	<S> Mr Kaufman noted that Wickes and Collins & Aikman , which produces the carpet at its Dalton , Ga , .X-PLANT , have numerous insurers </S>
16	2	<S> Furthermore , Duke Power has for some years had engineers at Rancho Seco on consulting contracts , allowing it to keep a close eye on the .X-PLANT </S>
17	2	<S> Ashland Oil Co said a unit was chosen by Toyota Motor Manufacturing USA Inc as the primary supplier of lubricants and rust-preventive coatings for the auto maker 's Georgetown , Ky , manufacturing .X-PLANT </S>
18	2	<S> Cooper LaserSonics said it is closing its Marlboro , Mass , .X-PLANT and relocating those operations to the company 's Santa Clara , Calif , facility </S>
19	2	<S> The U.S already has abandoned a $2.6 billion centrifuge enrichment .X-PLANT , saying lasers are more promising </S>
20	2	<S> The " Wall of History " is now bare at the big .X-PLANT that long anchored this town of 8,000 people </S>
21	2	<S> As previously reported , Armstrong bought a closed .X-PLANT and other equipment , patents and trademarks from Owens-Corning </S>
22	2	<S> General Motors Corp , in an unusual move , said it agreed to have one of its suppliers operate the paint shop at a GM .X-PLANT in Lansing , Mich </S>
23	2	<S> Nearly three-quarters of New Hampshire 's Democratic and independent voters oppose opening the Seabrook .X-PLANT , with two in five rating the plant as the state 's " biggest problem , " according to the Boston Herald poll </S>
24	2	<S> The electrolytic , or smelting , process ( see ELECTROLYSIS ) takes place in reduction cells or pots , of which there may be 1,000 or more in a modern .X-PLANT </S>
25	2	<S> The incident occurred when the workers attempted to open a valve that is normally closed in the .X-PLANT 's Unit 2 containment building , as part of a scheduled refueling of the unit </S>
26	2	<S> A Georgia Power spokesman said that " in attempting to complete construction and start-up of the unit , Georgia Power management failed to give sufficient attention to completion of .X-PLANT security systems and full implementation of security programs " </S>
27	2	<S> About 75 employees at the Massachusetts .X-PLANT will lose their jobs , a spokesman said </S>
28	2	<S> The provisional agreement approved last week by the commission requires divestiture of Safeco 's title insurance .X-PLANT in Cook County within a year </S>
29	2	<S> The Ashland , Ky , oil company said that its Valvoline Oil Co will invest about $300,000 for additional equipment and storage tanks on property adjacent to its Cincinnati blending .X-PLANT to help service the Toyota account </S>
30	2	<S> The .X-PLANT , to be built between Dallas and Houston , will consist of as many as four 150,000-kilowatt boiler units and will require an average of 2.5 million tons of lignite a year for 41 years , the Phillips unit said </S>
31	2	<S> For 1985 , Alcoa posted a net loss of $16.6 million after taking special charges totaling $156.9 million from .X-PLANT closings and write-downs </S>
32	1	<S> A .X-PLANT has cell walls composed mostly of cellulose and develops a separation layer ( cell plate ) during cell division ; it lacks centrioles , which are structures involved in cell division in animals Under the traditional two-kingdom system , organisms having only several , or even just one , of the foregoing characteristics are considered plants </S>
33	1	<S> A field experiment using two Leucaena ecotypes ( UF-1 and UF-2 ) showed poor plant establishment and reduced yield on unlimed flatwoods soil plots ( pH 4.2 ) in comparison to .X-PLANT productivity on plots treated with Ca ( OH ) ( ,2 ) </S>
34	1	<S> Advanced-generation lines with improved .X-PLANT type were developed and released by the Kansas Agricultural Experiment Station </S>
35	2	<S> Based on the argument that the TFR is a better proxy for the theoretical " scale of .X-PLANT " concept of size , it was proposed that TFR replace GVS as the grouping criterion when aggregated census data are used to make inferences about economies of size </S>
36	1	<S> Based on the gibberellin test and segregation patterns for .X-PLANT height all six dwarfing sources had at least one allele located at the Norin 10 Rht loci </S>
37	1	<S> Embryo infection by P irregulare was not completely controlled at 20-25 C by metalaxyl seed treatment , especially in the presence of .X-PLANT residue </S>
38	1	<S> Energy for metabolism is obtained in catabolism of this sugar The chemical reactions by which plant constituents are formed , interconverted , and degraded constitute the complex of .X-PLANT metabolism </S>
39	1	<S> Experiments were also carried out to investigate the effects of infection on the subsequent growth of the .X-PLANT </S>
40	1	<S> Flowers , open bolls , seed cotton yield per plant , internodes and plant height were reduced by .X-PLANT density increases , but all dry weight components of the plant body incremented in per unit of land area </S>
41	1	<S> He had previously obtained a line of pea plants that always produced tall plants and a line that always produced short plants , and he crossed them by transferring pollen from one .X-PLANT to another </S>
42	1	<S> In 1982 , four populations of equidistant .X-PLANT spacing ranging from 65,740 to 107,490 plants , four combinations of P and K fertility and the two 1980 hybrids were used </S>
43	1	<S> In later studies , however , most notably on Sigillaria and on a magnificent collection of isolated gymnospermous ovules , the .X-PLANT remains were permineralized , in which dissolved minerals were deposited within the cavities and porous parts </S>
44	1	<S> In this study , the effect of organic acid and bicarbonate on .X-PLANT growth and Zn uptake , effects of organic matter addition on various Zn fractions at different pH levels were investigated in the greenhouse and laboratory </S>
45	1	<S> It is suggested that archaeobotanists restrict comparisons to groups of .X-PLANT remains which had similar transformational trajectories ; and that several content-independent measures be used in evaluating plant resource selectively </S>
46	1	<S> Lesion numbers in hetero - zygotes were few with weak isolates , but equalled the susceptible .X-PLANT with aggressive isolates </S>
47	2	<S> Major change followed as Gannett brought in new employees , redesigned the paper , and expanded the physical .X-PLANT to print USA TODAY </S>
48	1	<S> No one .X-PLANT of E. lanata in any species combination on either level of soil disturbance produced more or less biomass than any other plant of the same species </S>
49	1	<S> Seasonal changes in .X-PLANT size and fertility of seven species of Rhodophyta from three physically and biotically distinct habitats were studied : Laurencia papillosa , Acanthophora spicifera and Gelidiella acerosa from the elevated reef flat ; Laurencia obtusa and L intricata from the turbulent seaward reef edge ; and L brongniartii and Bryothamnion seaforthii from the subtidal forereef slope </S>
50	1	<S> Seedlings were stunted and K deficient when growing closer than 1 m to the A. gayanus .X-PLANT </S>
51	1	<S> Subsequently , when the roots of the .X-PLANT were immersed in a solution containing the necessary ingredients , the plant began to emit light </S>
52	1	<S> Synthetic fibers are fibers made from chemicals rather than from such natural sources as animal hair or .X-PLANT filaments ( see FIBER , TEXTILE ) </S>
53	1	<S> Testing the autotoxic effect of different alfalfa parts showed that .X-PLANT emergence was reduced the most when above ground alfalfa parts were incorporated into the soil </S>
54	1	<S> The central role that photosynthetic processes occupy within .X-PLANT cell metabolism , suggests an important role for photosynthesis during both low temperature acclimation and recovery from frost injury </S>
55	1	<S> The challenge to natural resource managers seeking to regulate encroachment of this woody .X-PLANT into grasslands thus appears to lie with limiting the dispersal of the seed by domestic livestock , not in controlling herbaceous utilization </S>
56	1	<S> The common name for the genus Mesembryanthemum , ice .X-PLANT usually refers to M. crystallinum , a succulent herb native to South Africa and naturalized in such places as California and southwest Asia </S>
57	1	<S> The green , black , yellow , and gray colors of the colonies of these common microfungi are the result of the color of the huge number of pigmented conidia produced on the surface In addition to their roles in the decay of .X-PLANT and animal residues and in food spoilage , these fungi are of great significance to humans in other ways </S>
58	1	<S> The imprinted surface significantly increased soil moisture retention , number of plants per unit area , .X-PLANT height , plant cover , and biomass compared to the untreated surface </S>
59	2	<S> The research focused on .X-PLANT level decision-making as the primary model for determining the likelihood of robotics adoption </S>
60	1	<S> The shrub , Simmondsia chinensis of the box family , Buxaceae , grows to an adult .X-PLANT about 6 m ( 20 ft ) high in 3 to 4 years </S>
61	1	<S> They have three major structures : leaves or leaflike structures specialized for photosynthesis ; stems or stemlike structures that hold the leaves ; and roots specialized for anchoring the .X-PLANT in a growth medium and absorbing water </S>
62	2	<S> This new approach to manufacturing had proved so satisfactory that workers in one Japanese-owned .X-PLANT voted against unionization in 1989 </S>
63	2	<S> Unit I of the nuclear generating .X-PLANT at Seabrook was completed in 1986 , but operations have not begun yet </S>
64	1	<S> } and sweet potatoes ( Ipomoea batatas L ). A new column cleanup procedure was developed for high performance liquid chromatographic analysis of fluazifop-butyl residues in .X-PLANT tissue </S>
